88,τ,Phe
122,θ,Oct
145,29,Psc
154,30,Psc
171,85,Peg
183,ζ,Scl
186,31,Psc
194,c,Psc
301,2,Cet
330,9,Cas
355,3,Cet
443,33,Psc
476,86,Peg
531,10,Cas
664,5,Cet
677,α,And
729,87,Peg
746,β,Cas
761,κ1,Scl
765,ε,Phe
813,34,Psc
814,γ3,Oct
841,22,And
910,6,Cet
930,κ2,Scl
950,θ,Scl
1067,γ,Peg
1086,23,And
1168,χ,Peg
1170,7,Cet
1196,35,Psc
1319,36,Psc
1366,θ,And
1473,σ,And
1501,26,And
1562,ι,Cet
1599,ζ,Tuc
1645,d,Psc
1647,π,Tuc
1686,ρ,And
1708,ι,Scl
1772,42,Psc
1803,9,Cet
1960,12,Cas
2006,44,Psc
2021,β,Hyi
2072,κ,Phe
2081,α,Phe
2100,10,Cet
2210,η,Scl
2219,47,Psc
2224,48,Psc
2353,12,Cet
2355,28,And
2472,λ1,Phe
2474,13,Cas
2484,β1,Tuc
2487,β2,Tuc
2505,λ,Cas
2548,51,Psc
2568,52,Psc
2599,κ,Cas
2629,θ,Tuc
2707,16,Cas
2762,13,Cet
2787,14,Cet
2802,λ2,Phe
2903,53,Psc
2912,π,And
2920,ζ,Cas
3031,ε,And
3092,δ,And
3093,54,Psc
3138,55,Psc
3179,α,Cas
3231,32,And
3245,μ,Phe
3277,ξ,Phe
3300,ξ,Cas
3330,ρ,Tuc
3356,λ1,Scl
3405,η,Phe
3414,π,Cas
3419,β,Cet
3455,φ1,Cet
3456,λ2,Scl
3504,ο,Cas
3559,18,Cet
3572,21,Cas
3632,57,Psc
3675,58,Psc
3685,59,Psc
3693,ζ,And
3697,60,Psc
3721,23,Cas
3730,61,Psc
3760,62,Psc
3781,λ,Hyi
3786,δ,Psc
3801,ν,Cas
3810,64,Psc
3821,η,Cas
3881,ν,And
3885,65,Psc
3909,φ2,Cet
3949,ρ,Phe
4084,λ1,Tuc
4147,20,Cet
4257,21,Cet
4267,66,Psc
4288,36,And
4292,υ1,Cas
4293,λ,Tuc
4366,k,Psc
4371,φ3,Cet
4422,υ2,Cas
4427,γ,Cas
4436,μ,And
4463,η,And
4510,h,Psc
4577,α,Scl
4587,φ4,Cet
4770,ξ,Scl
4852,σ,Scl
4889,σ,Psc
4903,39,And
4906,ε,Psc
4914,25,Cet
4979,26,Cet
5074,73,Psc
5081,72,Psc
5121,27,Cet
5131,ψ1A,Psc
5132,ψ1B,Psc
5141,77B,Psc
5144,77A,Psc
5164,28,Cet
5165,β,Phe
5204,75,Psc
5268,ι,Tuc
5296,30,Cet
5300,υ,Phe
5310,ψ2,Psc
5317,41,And
5319,78,Psc
5336,μ,Cas
5346,e,Psc
5348,ζ,Phe
5364,η,Cet
5434,φ,And
5447,β,And
5454,ψ3,Psc
5485,32,Cet
5493,44,And
5510,33,Cet
5518,31,Cas
5542,θ,Cas
5544,g,Psc
5550,45,And
5571,χ,Psc
5586,τ,Psc
5589,32,Cas
5594,34,Cet
5737,ζA,Psc
5742,φ,Psc
5743,ζB,Psc
5778,87,Psc
5799,37,Cet
5824,88,Psc
5833,38,Cet
5862,ν,Phe
5896,κ,Tuc
5951,39,Cet
6061,f,Psc
6193,υ,Psc
6226,42,Cet
6242,φ,Cas
6312,35,Cas
6315,l,Psc
6411,ξ,And
6429,43,Cet
6514,47,And
6537,θ,Cet
6539,44,Cet
6670,46,Cet
6686,δ,Cas
6692,ψ,Cas
6706,ρ,Psc
6732,94,Psc
6748,47,Cet
6813,ω,And
6867,γ,Phe
6960,48,Cet
6981,97,Psc
6999,49,And
7007,μ,Psc
7078,38,Cas
7083,δ,Phe
7097,η,Psc
7294,χ,Cas
